MinMemoryReq,164268.89089032888
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1015.4843356139718,8163500.0,8764.162360016275,9002097.0,175,175
2030.9686712279436,13473040.0,10196.670389894884,14331657.0,230,230
3046.4530068419153,18626317.0,11817.078419773492,19536898.0,287,287
4061.937342455887,23935857.0,13249.5864496521,24866485.0,342,344
5077.42167806986,29509742.0,15024.077812864043,30492856.0,401,404
6086.956521739131,34733049.0,16481.921977196434,35737295.0,456,460
7108.390349297803,40035345.0,16935.89863452602,41098144.0,514,520
8123.874684911774,45344885.0,16997.906664404625,46427704.0,569,575
9139.35902052575,50269491.0,16987.4813609499,51372027.0,624,630
10154.84335613972,56131872.0,17687.02668960428,57288460.0,688,694
11170.327691753691,61178627.0,19018.434719482888,62354383.0,743,749
12173.913043478262,66508907.0,20563.767345353735,67737466.0,801,807
13179.690313287721,71555662.0,21814.767967824933,72803389.0,856,862
14195.174648901693,77428549.0,23398.348508526047,78736898.0,917,923
15210.658984515665,82935295.0,25014.986697134816,84373683.0,978,984
16226.143320129637,88411565.0,26723.49472701342,89906635.0,1035,1041
17241.62765574361,93333823.0,27916.8313283206,94847500.0,1091,1097
18257.11199135758,98646632.0,29244.62507248492,100181466.0,1147,1153
19272.59632697155,104215978.0,30890.61643569686,105803371.0,1206,1212
20288.080662585526,109623139.0,32522.72071581645,111238925.0,1270,1276
21290.322580645163,114976499.0,33866.13905597313,116644883.0,1327,1333
22297.443284119552,119986613.0,35111.97565728048,121674113.0,1381,1387
23300.97087378641,125742932.0,36684.26029780352,127483380.0,1439,1445
24306.805905653582,130757687.0,38134.00742542666,132518427.0,1497,1503
25322.290241267558,135973247.0,39463.81545530544,137753836.0,1554,1560
26337.774576881526,141123255.0,40727.81872327946,142954671.0,1610,1616
27353.258912495497,146489930.0,42199.183896015384,148349959.0,1669,1675
28368.74324810947,152046166.0,43779.10383065607,153958509.0,1727,1733
29384.22758372344,157355706.0,45078.790431963425,159288069.0,1782,1788
30399.711919337416,163047074.0,47216.57883906732,165177145.0,1853,1859
31415.196254951385,168369724.0,48334.168981278206,170520060.0,1909,1915
