MinMemoryReq,164268.89089032865
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1015.4843356139718,8163500.0,8764.162360016275,9002097.0,175,175
2030.9686712279436,13473040.0,10196.670389894884,14331657.0,230,230
3046.4530068419153,18626317.0,11817.078419773492,19536898.0,287,287
4061.937342455887,23935857.0,13249.5864496521,24866485.0,342,344
5077.42167806986,29509742.0,15024.077812864043,30492856.0,401,404
6086.956521739131,34733049.0,16481.921977196434,35737295.0,456,460
7108.390349297803,40035345.0,16974.815301192688,41098144.0,514,520
8123.874684911774,45344885.0,16955.98999773796,46427704.0,569,575
9139.35902052575,50266222.0,16957.686916505452,51368758.0,623,630
10154.84335613972,56128603.0,17628.52668960428,57285191.0,687,694
11170.327691753691,61175358.0,18959.934719482888,62351114.0,742,749
12173.913043478262,66505638.0,20505.267345353735,67734197.0,800,807
13179.690313287721,71552393.0,21756.267967824933,72800120.0,855,862
14195.174648901693,77425280.0,23398.348508526047,78733629.0,916,923
15210.658984515665,82932026.0,25014.986697134816,84370414.0,977,984
16226.143320129637,88408296.0,26723.49472701342,89903366.0,1034,1041
17241.62765574361,93330554.0,27916.8313283206,94844231.0,1090,1097
18257.11199135758,98643363.0,29244.62507248492,100178197.0,1146,1153
19272.59632697155,104212709.0,30890.61643569686,105800102.0,1205,1212
20288.080662585526,109619870.0,32522.72071581645,111235656.0,1269,1276
21290.322580645163,114973230.0,33866.13905597313,116641614.0,1326,1333
22297.443284119552,119983344.0,35111.97565728048,121670844.0,1380,1387
23300.97087378641,125739663.0,36684.26029780352,127480111.0,1438,1445
24306.805905653582,130754418.0,38134.00742542666,132515158.0,1496,1503
25322.290241267558,135969978.0,39463.81545530544,137750567.0,1553,1560
26337.774576881526,141119986.0,40727.81872327946,142951402.0,1609,1616
27353.258912495497,146486661.0,42199.183896015384,148346690.0,1668,1675
28368.74324810947,152042897.0,43779.10383065607,153955240.0,1726,1733
29384.22758372344,157352437.0,45078.790431963425,159284800.0,1781,1788
30399.711919337416,163043805.0,47216.57883906732,165173876.0,1852,1859
31415.196254951385,168366455.0,48334.168981278206,170516791.0,1908,1915
